"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","11","Stocks","2007","Head","4357000.00000",""
"Africa +","11","Stocks","2007","Head","259341449.00000","A "
"Albania","11","Stocks","2007","Head","577000.00000",""
"Algeria","11","Stocks","2007","Head","1657897.00000",""
"American Samoa","11","Stocks","2007","Head","110.00000","F "
"Americas +","11","Stocks","2007","Head","503499476.00000","A "
"Angola","11","Stocks","2007","Head","4160000.00000","F "
"Antigua and Barbuda","11","Stocks","2007","Head","14500.00000","F "
"Argentina","11","Stocks","2007","Head","50750000.00000","F "
"Armenia","11","Stocks","2007","Head","620200.00000",""
"Asia +","11","Stocks","2007","Head","428168664.00000","A "
"Australia","11","Stocks","2007","Head","28036600.00000",""
"Australia and New Zealand +","11","Stocks","2007","Head","37691067.00000","A "
"Austria","11","Stocks","2007","Head","2002919.00000",""
"Azerbaijan","11","Stocks","2007","Head","2145900.00000",""
"Bahamas","11","Stocks","2007","Head","750.00000","F "
"Bahrain","11","Stocks","2007","Head","9000.00000","F "
"Bangladesh","11","Stocks","2007","Head","25300000.00000","F "
"Barbados","11","Stocks","2007","Head","11000.00000","F "
"Belarus","11","Stocks","2007","Head","3988711.00000",""
"Belgium","11","Stocks","2007","Head","2649392.00000",""
"Belize","11","Stocks","2007","Head","72826.00000",""
"Benin","11","Stocks","2007","Head","1857000.00000",""
"Bermuda","11","Stocks","2007","Head","600.00000","F "
"Bhutan","11","Stocks","2007","Head","385000.00000","F "
"Bolivia","11","Stocks","2007","Head","7734536.00000",""
"Bosnia and Herzegovina","11","Stocks","2007","Head","467986.00000",""
"Botswana","11","Stocks","2007","Head","2400000.00000","F "
"Brazil","11","Stocks","2007","Head","199752016.00000",""
"British Virgin Islands","11","Stocks","2007","Head","2400.00000","F "
"Brunei Darussalam","11","Stocks","2007","Head","940.00000","F "
"Bulgaria","11","Stocks","2007","Head","628271.00000",""
"Burkina Faso","11","Stocks","2007","Head","8764100.00000","F "
"Burundi","11","Stocks","2007","Head","479106.00000",""
"Cambodia","11","Stocks","2007","Head","3400000.00000","F "
"Cameroon","11","Stocks","2007","Head","6000000.00000","F "
"Canada","11","Stocks","2007","Head","14155000.00000",""
"Cape Verde","11","Stocks","2007","Head","38100.00000",""
