"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","11","Stocks","2007","1000 Head","9035.00000",""
"Africa +","11","Stocks","2007","1000 Head","1382310.00000","A "
"Albania","11","Stocks","2007","1000 Head","4712.00000",""
"Algeria","11","Stocks","2007","1000 Head","125000.00000","F "
"American Samoa","11","Stocks","2007","1000 Head","40.00000","F "
"Americas +","11","Stocks","2007","1000 Head","4983072.00000","A "
"Angola","11","Stocks","2007","1000 Head","6900.00000","F "
"Antigua and Barbuda","11","Stocks","2007","1000 Head","110.00000","F "
"Argentina","11","Stocks","2007","1000 Head","96000.00000","F "
"Armenia","11","Stocks","2007","1000 Head","3870.00000",""
"Aruba","11","Stocks","2007","1000 Head","0.00000","NR"
"Asia +","11","Stocks","2007","1000 Head","9427243.00000","A "
"Australia","11","Stocks","2007","1000 Head","97386.00000",""
"Australia and New Zealand +","11","Stocks","2007","1000 Head","117215.00000","A "
"Austria","11","Stocks","2007","1000 Head","13570.00000",""
"Azerbaijan","11","Stocks","2007","1000 Head","18000.00000",""
"Bahamas","11","Stocks","2007","1000 Head","3000.00000","F "
"Bahrain","11","Stocks","2007","1000 Head","470.00000","F "
"Bangladesh","11","Stocks","2007","1000 Head","206900.00000",""
"Barbados","11","Stocks","2007","1000 Head","3500.00000","F "
"Belarus","11","Stocks","2007","1000 Head","26900.00000",""
"Belgium","11","Stocks","2007","1000 Head","32750.00000",""
"Belize","11","Stocks","2007","1000 Head","1600.00000","F "
"Benin","11","Stocks","2007","1000 Head","14455.00000",""
"Bermuda","11","Stocks","2007","1000 Head","45.00000","F "
"Bhutan","11","Stocks","2007","1000 Head","230.00000","F "
"Bolivia","11","Stocks","2007","1000 Head","73388.00000",""
"Bosnia and Herzegovina","11","Stocks","2007","1000 Head","13800.00000",""
"Botswana","11","Stocks","2007","1000 Head","4000.00000","F "
"Brazil","11","Stocks","2007","1000 Head","1127658.00000",""
"Brunei Darussalam","11","Stocks","2007","1000 Head","15500.00000","F "
"Bulgaria","11","Stocks","2007","1000 Head","17959.00000",""
"Burkina Faso","11","Stocks","2007","1000 Head","27150.00000","F "
"Burundi","11","Stocks","2007","1000 Head","4700.00000","F "
"Cambodia","11","Stocks","2007","1000 Head","15200.00000","F "
"Cameroon","11","Stocks","2007","1000 Head","31000.00000","F "
"Canada","11","Stocks","2007","1000 Head","165000.00000","F "
"Cape Verde","11","Stocks","2007","1000 Head","505.00000","F "
"Caribbean +","11","Stocks","2007","1000 Head","198249.00000","A "
"Cayman Islands","11","Stocks","2007","1000 Head","6.00000","F "
"Central African Republic","11","Stocks","2007","1000 Head","4750.00000","F "
"Central America +","11","Stocks","2007","1000 Head","617773.00000","A "
"Central Asia +","11","Stocks","2007","1000 Head","66373.00000","A "
"Chad","11","Stocks","2007","1000 Head","5400.00000","F "
"Chile","11","Stocks","2007","1000 Head","98000.00000","F "
"China","11","Stocks","2007","1000 Head","4511613.00000",""
"China, mainland","11","Stocks","2007","1000 Head","4400000.00000",""
"Colombia","11","Stocks","2007","1000 Head","150000.00000","F "
"Comoros","11","Stocks","2007","1000 Head","500.00000","F "
"Congo","11","Stocks","2007","1000 Head","2400.00000","F "
"Congo, Democratic Republic of","11","Stocks","2007","1000 Head","19800.00000","F "
"Cook Islands","11","Stocks","2007","1000 Head","20.00000","F "
"Costa Rica","11","Stocks","2007","1000 Head","19500.00000","F "
"Côte d'Ivoire","11","Stocks","2007","1000 Head","32372.00000",""
"Croatia","11","Stocks","2007","1000 Head","6816.00000",""
"Cuba","11","Stocks","2007","1000 Head","29413.00000",""
"Cyprus","11","Stocks","2007","1000 Head","3100.00000","F "
"Czech Republic","11","Stocks","2007","1000 Head","23599.00000",""
"Denmark","11","Stocks","2007","1000 Head","15967.00000",""
"Dominica","11","Stocks","2007","1000 Head","190.00000","F "
"Dominican Republic","11","Stocks","2007","1000 Head","100500.00000","F "
"Eastern Africa +","11","Stocks","2007","1000 Head","279300.00000","A "
"Eastern Asia +","11","Stocks","2007","1000 Head","4936609.00000","A "
"Eastern Europe +","11","Stocks","2007","1000 Head","855964.00000","A "
"Ecuador","11","Stocks","2007","1000 Head","110000.00000","F "
"Egypt","11","Stocks","2007","1000 Head","96000.00000","F "
"El Salvador","11","Stocks","2007","1000 Head","14748.00000",""
"Equatorial Guinea","11","Stocks","2007","1000 Head","320.00000","F "
"Eritrea","11","Stocks","2007","1000 Head","1380.00000","F "
"Estonia","11","Stocks","2007","1000 Head","1609.00000",""
