"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Africa +","11","Stocks","2007","1000 Head","16895.00000","A "
"Albania","11","Stocks","2007","1000 Head","600.00000",""
"Algeria","11","Stocks","2007","1000 Head","45.00000","F "
"Americas +","11","Stocks","2007","1000 Head","24215.00000","A "
"Argentina","11","Stocks","2007","1000 Head","2450.00000","F "
"Asia +","11","Stocks","2007","1000 Head","997625.00000","A "
"Australia","11","Stocks","2007","1000 Head","906.00000",""
"Australia and New Zealand +","11","Stocks","2007","1000 Head","1096.00000","A "
"Austria","11","Stocks","2007","1000 Head","56.00000",""
"Azerbaijan","11","Stocks","2007","1000 Head","0.00000","NR"
"Bangladesh","11","Stocks","2007","1000 Head","22000.00000","F "
"Belarus","11","Stocks","2007","1000 Head","1000.00000",""
"Belgium","11","Stocks","2007","1000 Head","240.00000","F "
"Belize","11","Stocks","2007","1000 Head","13.00000","F "
"Bermuda","11","Stocks","2007","1000 Head","0.00000","NR"
"Bolivia","11","Stocks","2007","1000 Head","295.00000","F "
"Bosnia and Herzegovina","11","Stocks","2007","1000 Head","370.00000",""
"Brazil","11","Stocks","2007","1000 Head","3600.00000","F "
"Brunei Darussalam","11","Stocks","2007","1000 Head","100.00000","F "
"Bulgaria","11","Stocks","2007","1000 Head","1406.00000",""
"Cambodia","11","Stocks","2007","1000 Head","7000.00000","F "
"Canada","11","Stocks","2007","1000 Head","1150.00000","F "
"Caribbean +","11","Stocks","2007","1000 Head","193.00000","A "
"Central African Republic","11","Stocks","2007","1000 Head","10.00000","F "
"Central America +","11","Stocks","2007","1000 Head","8448.00000","A "
"Central Asia +","11","Stocks","2007","1000 Head","131.00000","A "
"China","11","Stocks","2007","1000 Head","752162.00000","F "
"China, mainland","11","Stocks","2007","1000 Head","740000.00000","F "
"Cook Islands","11","Stocks","2007","1000 Head","0.00000","NR"
"Côte d'Ivoire","11","Stocks","2007","1000 Head","0.00000","NR"
"Croatia","11","Stocks","2007","1000 Head","191.00000",""
"Cyprus","11","Stocks","2007","1000 Head","50.00000","F "
"Czech Republic","11","Stocks","2007","1000 Head","411.00000",""
"Denmark","11","Stocks","2007","1000 Head","211.00000",""
"Eastern Africa +","11","Stocks","2007","1000 Head","6521.00000","A "
"Eastern Asia +","11","Stocks","2007","1000 Head","768675.00000","A "
"Eastern Europe +","11","Stocks","2007","1000 Head","25087.00000","A "
"Ecuador","11","Stocks","2007","1000 Head","160.00000","F "
"Egypt","11","Stocks","2007","1000 Head","9500.00000","F "
"Equatorial Guinea","11","Stocks","2007","1000 Head","30.00000","F "
"Estonia","11","Stocks","2007","1000 Head","11.00000","F "
"Europe +","11","Stocks","2007","1000 Head","55821.00000","A "
"European Union +","11","Stocks","2007","1000 Head","43516.00000","A "
"Fiji","11","Stocks","2007","1000 Head","85.00000","F "
"Finland","11","Stocks","2007","1000 Head","0.00000","NR"
"France","11","Stocks","2007","1000 Head","22600.00000","F "
"French Guiana","11","Stocks","2007","1000 Head","27.00000","F "
"French Polynesia","11","Stocks","2007","1000 Head","32.00000","F "
"Germany","11","Stocks","2007","1000 Head","2618.00000",""
"Greece","11","Stocks","2007","1000 Head","55.00000","F "
