"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Africa +","11","Stocks","2007","Head","25208752.00000","A "
"Albania","11","Stocks","2007","Head","147000.00000",""
"Algeria","11","Stocks","2007","Head","5700.00000","F "
"American Samoa","11","Stocks","2007","Head","10500.00000","F "
"Americas +","11","Stocks","2007","Head","154442269.00000","A "
"Angola","11","Stocks","2007","Head","782000.00000","F "
"Antigua and Barbuda","11","Stocks","2007","Head","2800.00000","F "
"Argentina","11","Stocks","2007","Head","2270000.00000","F "
"Armenia","11","Stocks","2007","Head","152791.00000",""
"Aruba","11","Stocks","2007","Head","0.00000","NR"
"Asia +","11","Stocks","2007","Head","535076807.00000","A "
"Australia","11","Stocks","2007","Head","2605000.00000",""
"Australia and New Zealand +","11","Stocks","2007","Head","2971671.00000","A "
"Austria","11","Stocks","2007","Head","3139438.00000",""
"Azerbaijan","11","Stocks","2007","Head","21317.00000",""
"Bahamas","11","Stocks","2007","Head","5000.00000","F "
"Barbados","11","Stocks","2007","Head","20000.00000","F "
"Belarus","11","Stocks","2007","Head","3641800.00000",""
"Belgium","11","Stocks","2007","Head","6255400.00000",""
"Belize","11","Stocks","2007","Head","21500.00000","F "
"Benin","11","Stocks","2007","Head","327000.00000",""
"Bermuda","11","Stocks","2007","Head","600.00000","F "
"Bhutan","11","Stocks","2007","Head","35000.00000","F "
"Bolivia","11","Stocks","2007","Head","3637125.00000",""
"Bosnia and Herzegovina","11","Stocks","2007","Head","534764.00000",""
"Botswana","11","Stocks","2007","Head","5500.00000","F "
"Brazil","11","Stocks","2007","Head","35945016.00000",""
"British Virgin Islands","11","Stocks","2007","Head","1500.00000","F "
"Brunei Darussalam","11","Stocks","2007","Head","1800.00000","F "
"Bulgaria","11","Stocks","2007","Head","1012655.00000",""
"Burkina Faso","11","Stocks","2007","Head","2763200.00000","F "
"Burundi","11","Stocks","2007","Head","189505.00000",""
"Cambodia","11","Stocks","2007","Head","2790000.00000","F "
"Cameroon","11","Stocks","2007","Head","1350000.00000","F "
"Canada","11","Stocks","2007","Head","14907000.00000",""
"Cape Verde","11","Stocks","2007","Head","217000.00000","F "
"Caribbean +","11","Stocks","2007","Head","3859250.00000","A "
"Cayman Islands","11","Stocks","2007","Head","400.00000","F "
"Central African Republic","11","Stocks","2007","Head","800000.00000","F "
"Central America +","11","Stocks","2007","Head","17788738.00000","A "
"Central Asia +","11","Stocks","2007","Head","1507239.00000","A "
"Chad","11","Stocks","2007","Head","27040.00000","F "
"Chile","11","Stocks","2007","Head","2957195.00000",""
"China","11","Stocks","2007","Head","425672621.00000",""
"China, mainland","11","Stocks","2007","Head","418504000.00000",""
"Colombia","11","Stocks","2007","Head","1914449.00000",""
"Congo","11","Stocks","2007","Head","47000.00000","F "
"Congo, Democratic Republic of","11","Stocks","2007","Head","963110.00000",""
"Cook Islands","11","Stocks","2007","Head","32200.00000","F "
"Costa Rica","11","Stocks","2007","Head","676000.00000","F "
"Côte d'Ivoire","11","Stocks","2007","Head","323500.00000",""
"Croatia","11","Stocks","2007","Head","1488488.00000",""
"Cuba","11","Stocks","2007","Head","1868600.00000",""
"Cyprus","11","Stocks","2007","Head","450300.00000",""
"Czech Republic","11","Stocks","2007","Head","2830415.00000",""
"Denmark","11","Stocks","2007","Head","13723467.00000",""
"Dominica","11","Stocks","2007","Head","5000.00000","F "
"Dominican Republic","11","Stocks","2007","Head","580000.00000","F "
"Eastern Africa +","11","Stocks","2007","Head","6919608.00000","A "
"Eastern Asia +","11","Stocks","2007","Head","447484452.00000","A "
"Eastern Europe +","11","Stocks","2007","Head","62026128.00000","A "
"Ecuador","11","Stocks","2007","Head","1323080.00000",""
"Egypt","11","Stocks","2007","Head","30000.00000","F "
"El Salvador","11","Stocks","2007","Head","441038.00000",""
"Equatorial Guinea","11","Stocks","2007","Head","6100.00000","F "
"Estonia","11","Stocks","2007","Head","345800.00000",""
"Ethiopia","11","Stocks","2007","Head","29000.00000","F "
"Europe +","11","Stocks","2007","Head","198039684.00000","A "
"European Union +","11","Stocks","2007","Head","161616228.00000","A "
"Falkland Islands","11","Stocks","2007","Head","40.00000","F "
"Fiji","11","Stocks","2007","Head","145000.00000","F "
"Finland","11","Stocks","2007","Head","1448041.00000",""
"France","11","Stocks","2007","Head","14736000.00000",""
"French Guiana","11","Stocks","2007","Head","10500.00000","F "
"French Polynesia","11","Stocks","2007","Head","27000.00000","F "
"Gabon","11","Stocks","2007","Head","213000.00000","F "
"Gambia","11","Stocks","2007","Head","21700.00000","F "
"Georgia","11","Stocks","2007","Head","343500.00000",""
"Germany","11","Stocks","2007","Head","27125299.00000",""
"Ghana","11","Stocks","2007","Head","239000.00000","F "
"Greece","11","Stocks","2007","Head","902305.00000",""
"Grenada","11","Stocks","2007","Head","2650.00000","F "
"Guadeloupe","11","Stocks","2007","Head","30000.00000","F "
"Guam","11","Stocks","2007","Head","5200.00000","F "
"Guatemala","11","Stocks","2007","Head","212000.00000","F "
"Guinea","11","Stocks","2007","Head","82360.00000",""
"Guinea-Bissau","11","Stocks","2007","Head","390500.00000","F "
"Guyana","11","Stocks","2007","Head","13500.00000","F "
"Haiti","11","Stocks","2007","Head","1000000.00000","F "
"Honduras","11","Stocks","2007","Head","490000.00000","F "
"Hungary","11","Stocks","2007","Head","3987000.00000",""
"Iceland","11","Stocks","2007","Head","41470.00000",""
"India","11","Stocks","2007","Head","14000000.00000","F "
"Indonesia","11","Stocks","2007","Head","6710760.00000",""
"Iran, Islamic Republic of","11","Stocks","2007","Head","0.00000","NR"
"Ireland","11","Stocks","2007","Head","1587800.00000",""
"Israel","11","Stocks","2007","Head","206000.00000",""
"Italy","11","Stocks","2007","Head","9281000.00000",""
"Jamaica","11","Stocks","2007","Head","186400.00000","F "
"Japan","11","Stocks","2007","Head","9759000.00000",""
"Kazakhstan","11","Stocks","2007","Head","1304900.00000",""
"Kenya","11","Stocks","2007","Head","304200.00000",""
"Kiribati","11","Stocks","2007","Head","12600.00000","F "
"Korea, Democratic People's Republic of","11","Stocks","2007","Head","2440000.00000","F "
"Korea, Republic of","11","Stocks","2007","Head","9605831.00000",""
"Kyrgyzstan","11","Stocks","2007","Head","79567.00000",""
"LandLocked developing countries +","11","Stocks","2007","Head","19363162.00000","A "
"Lao People's Democratic Republic","11","Stocks","2007","Head","2260000.00000","F "
"Latvia","11","Stocks","2007","Head","416800.00000",""
"Least Developed Countries +","11","Stocks","2007","Head","28138201.00000","A "
"Lebanon","11","Stocks","2007","Head","15000.00000","F "
"Lesotho","11","Stocks","2007","Head","120000.00000","F "
"Liberia","11","Stocks","2007","Head","173000.00000","F "
"Liechtenstein","11","Stocks","2007","Head","3000.00000","F "
"Lithuania","11","Stocks","2007","Head","1127100.00000",""
"Low Income Food Deficit Countries +","11","Stocks","2007","Head","494034915.00000","A "
"Luxembourg","11","Stocks","2007","Head","83255.00000",""
"Madagascar","11","Stocks","2007","Head","1350000.00000","F "
"Malawi","11","Stocks","2007","Head","928952.00000",""
"Malaysia","11","Stocks","2007","Head","2000000.00000","F "
"Mali","11","Stocks","2007","Head","71100.00000",""
"Malta","11","Stocks","2007","Head","73683.00000",""
"Martinique","11","Stocks","2007","Head","20000.00000","F "
"Mauritius","11","Stocks","2007","Head","17413.00000",""
"Melanesia +","11","Stocks","2007","Head","2091000.00000","A "
"Mexico","11","Stocks","2007","Head","15500000.00000","F "
"Micronesia +","11","Stocks","2007","Head","53700.00000","A "
"Micronesia, Federated States of","11","Stocks","2007","Head","33000.00000","F "
"Middle Africa +","11","Stocks","2007","Head","4190870.00000","A "
"Moldova","11","Stocks","2007","Head","531818.00000",""
"Mongolia","11","Stocks","2007","Head","7000.00000","F "
"Montenegro","11","Stocks","2007","Head","13294.00000",""
"Montserrat","11","Stocks","2007","Head","1200.00000","F "
"Morocco","11","Stocks","2007","Head","8000.00000","F "
"Mozambique","11","Stocks","2007","Head","182000.00000","F "
"Myanmar","11","Stocks","2007","Head","7006825.00000",""
"Namibia","11","Stocks","2007","Head","25000.00000","F "
"Nauru","11","Stocks","2007","Head","2900.00000","F "
"Nepal","11","Stocks","2007","Head","989429.00000",""
