"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","11","Stocks","2007","Head","8105000.00000",""
"Africa +","11","Stocks","2007","Head","279721562.00000","A "
"Albania","11","Stocks","2007","Head","1853000.00000",""
"Algeria","11","Stocks","2007","Head","19850823.00000",""
"Americas +","11","Stocks","2007","Head","90757418.00000","A "
"Angola","11","Stocks","2007","Head","340000.00000","F "
"Antigua and Barbuda","11","Stocks","2007","Head","20000.00000","F "
"Argentina","11","Stocks","2007","Head","12450000.00000","F "
"Armenia","11","Stocks","2007","Head","589972.00000",""
"Aruba","11","Stocks","2007","Head","0.00000","NR"
"Asia +","11","Stocks","2007","Head","455740170.00000","A "
"Australia","11","Stocks","2007","Head","85711187.00000",""
"Australia and New Zealand +","11","Stocks","2007","Head","124171660.00000","A "
"Austria","11","Stocks","2007","Head","312375.00000",""
"Azerbaijan","11","Stocks","2007","Head","7290590.00000",""
"Bahamas","11","Stocks","2007","Head","6500.00000","F "
"Bahrain","11","Stocks","2007","Head","41000.00000","F "
"Bangladesh","11","Stocks","2007","Head","1560000.00000","F "
"Barbados","11","Stocks","2007","Head","11200.00000","F "
"Belarus","11","Stocks","2007","Head","52200.00000",""
"Belgium","11","Stocks","2007","Head","150532.00000",""
"Belize","11","Stocks","2007","Head","6265.00000","F "
"Benin","11","Stocks","2007","Head","775600.00000",""
"Bhutan","11","Stocks","2007","Head","18000.00000","F "
"Bolivia","11","Stocks","2007","Head","9148670.00000",""
"Bosnia and Herzegovina","11","Stocks","2007","Head","1033264.00000",""
"Botswana","11","Stocks","2007","Head","300000.00000","F "
"Brazil","11","Stocks","2007","Head","16239455.00000",""
"British Virgin Islands","11","Stocks","2007","Head","6100.00000","F "
"Brunei Darussalam","11","Stocks","2007","Head","3000.00000","F "
"Bulgaria","11","Stocks","2007","Head","1635410.00000",""
"Burkina Faso","11","Stocks","2007","Head","7321200.00000","F "
"Burundi","11","Stocks","2007","Head","292916.00000",""
"Cameroon","11","Stocks","2007","Head","3800000.00000","F "
"Canada","11","Stocks","2007","Head","879100.00000",""
"Cape Verde","11","Stocks","2007","Head","14796.00000",""
"Caribbean +","11","Stocks","2007","Head","3065066.00000","A "
"Central African Republic","11","Stocks","2007","Head","260000.00000","F "
