"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Africa +","11","Stocks","2007","1000 Head","16316.00000","A "
"Albania","11","Stocks","2007","1000 Head","900.00000",""
"Algeria","11","Stocks","2007","1000 Head","70.00000","F "
"Americas +","11","Stocks","2007","1000 Head","329589.00000","A "
"Argentina","11","Stocks","2007","1000 Head","2950.00000","F "
"Armenia","11","Stocks","2007","1000 Head","228.00000","F "
"Asia +","11","Stocks","2007","1000 Head","13718.00000","A "
"Australia","11","Stocks","2007","1000 Head","1975.00000",""
"Australia and New Zealand +","11","Stocks","2007","1000 Head","2051.00000","A "
"Austria","11","Stocks","2007","1000 Head","568.00000",""
"Azerbaijan","11","Stocks","2007","1000 Head","761.00000",""
"Barbados","11","Stocks","2007","1000 Head","55.00000","F "
"Belarus","11","Stocks","2007","1000 Head","800.00000",""
"Belgium","11","Stocks","2007","1000 Head","145.00000","F "
"Belize","11","Stocks","2007","1000 Head","40.00000","F "
"Bolivia","11","Stocks","2007","1000 Head","155.00000","F "
"Bosnia and Herzegovina","11","Stocks","2007","1000 Head","370.00000",""
"Brazil","11","Stocks","2007","1000 Head","16300.00000","F "
"Bulgaria","11","Stocks","2007","1000 Head","521.00000",""
"Burundi","11","Stocks","2007","1000 Head","0.00000","NR"
"Canada","11","Stocks","2007","1000 Head","5600.00000","F "
"Caribbean +","11","Stocks","2007","1000 Head","275.00000","A "
"Central America +","11","Stocks","2007","1000 Head","4380.00000","A "
"Central Asia +","11","Stocks","2007","1000 Head","820.00000","A "
"Chile","11","Stocks","2007","1000 Head","28000.00000","F "
"China","11","Stocks","2007","1000 Head","163.00000",""
"Croatia","11","Stocks","2007","1000 Head","677.00000",""
"Cyprus","11","Stocks","2007","1000 Head","220.00000","F "
"Czech Republic","11","Stocks","2007","1000 Head","566.00000",""
"Denmark","11","Stocks","2007","1000 Head","194.00000",""
"Eastern Africa +","11","Stocks","2007","1000 Head","2394.00000","A "
"Eastern Asia +","11","Stocks","2007","1000 Head","177.00000","A "
"Eastern Europe +","11","Stocks","2007","1000 Head","26641.00000","A "
"Ecuador","11","Stocks","2007","1000 Head","28.00000","F "
"Egypt","11","Stocks","2007","1000 Head","1850.00000","F "
"Estonia","11","Stocks","2007","1000 Head","10.00000","F "
"Europe +","11","Stocks","2007","1000 Head","110880.00000","A "
"European Union +","11","Stocks","2007","1000 Head","96046.00000","A "
"Fiji","11","Stocks","2007","1000 Head","70.00000","F "
"Finland","11","Stocks","2007","1000 Head","431.00000",""
"France","11","Stocks","2007","1000 Head","28105.00000","F "
"Georgia","11","Stocks","2007","1000 Head","350.00000",""
"Germany","11","Stocks","2007","1000 Head","10892.00000",""
